Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924

Simulation Start Month,Simulation Start Day,Simulation Start Year,Simulation End Month,Simulation End Day,Simulation End Year,Initialization Years,Simulation Years,Total Rainfall Events,Average Rainfall Events per Year,Surface Runoff Events Exceeding "0.0000" [mm] (Included as runoff events),Surface Runoff Events Exceeding "0.0000" [mm] (Met user-specified limits and written to user-requested output files)
01,01,0001,12,31,0010,2,10.000,1087,108.70,1362,0,
Corresponding sediment events were not requested.

AVERAGE ANNUAL FILE: SEDIMENT LOADING [unit-area per annum] 

,,,Reach ID,Reach ID, 
,,,OUTLET,
Cell ID,Drainage Area [ha],Class,Up [Mg/ha/yr],Dn [Mg/ha/yr], 
22,37.54,Clay,0.7608,,
22,37.54,Silt,6.6565,,
22,37.54,Sand,0.0392,,
22,37.54,SmAg,0.0000,,
22,37.54,LgAg,0.0000,,
22,     37.54,Subtotal,7.4566,,
23,30.54,Clay,0.5595,,
23,30.54,Silt,4.8970,,
23,30.54,Sand,0.0297,,
23,30.54,SmAg,0.0000,,
23,30.54,LgAg,0.0000,,
23,     30.54,Subtotal,5.4861,,
31,33.65,Clay,0.0007,,
31,33.65,Silt,0.0075,,
31,33.65,Sand,0.0001,,
31,33.65,SmAg,0.0000,,
31,33.65,LgAg,0.0000,,
31,     33.65,Subtotal,0.0084,,
32,9.37,Clay,0.7930,,
32,9.37,Silt,6.2486,,
32,9.37,Sand,0.3232,,
32,9.37,SmAg,0.0000,,
32,9.37,LgAg,0.0000,,
32,      9.37,Subtotal,7.3648,,
33,33.09,Clay,0.8461,,
33,33.09,Silt,7.3774,,
33,33.09,Sand,0.0171,,
33,33.09,SmAg,0.0000,,
33,33.09,LgAg,0.0000,,
33,     33.09,Subtotal,8.2406,,
41,30.17,Clay,0.4889,,
41,30.17,Silt,4.2750,,
41,30.17,Sand,0.0106,,
41,30.17,SmAg,0.0000,,
41,30.17,LgAg,0.0000,,
41,     30.17,Subtotal,4.7746,,
42,14.91,Clay,1.1772,,
42,14.91,Silt,12.6048,,
42,14.91,Sand,0.0129,,
42,14.91,SmAg,0.0000,,
42,14.91,LgAg,0.0000,,
42,     14.91,Subtotal,13.7950,,
43,30.25,Clay,1.0466,,
43,30.25,Silt,7.3430,,
43,30.25,Sand,0.8466,,
43,30.25,SmAg,0.0000,,
43,30.25,LgAg,0.0000,,
43,     30.25,Subtotal,9.2363,,
Reach Totals,, Clay,0.6608,
Reach Totals,, Silt,5.6551,
Reach Totals,, Sand,0.1462,
Reach Totals,, SmAg,0.0000,
Reach Totals,, LgAg,0.0000,
Reach Totals,,Grand Totals,6.4621,
Drainage Area [ha],   219.520,,219.5200,
