Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924

Simulation Start Month,Simulation Start Day,Simulation Start Year,Simulation End Month,Simulation End Day,Simulation End Year,Initialization Years,Simulation Years,Total Rainfall Events,Average Rainfall Events per Year,Surface Runoff Events Exceeding "0.0000" [mm] (Included as runoff events),Surface Runoff Events Exceeding "0.0000" [mm] (Met user-specified limits and written to user-requested output files)
01,01,0001,12,31,0010,2,10.000,1087,108.70,1362,0,
Corresponding organic carbon events were not requested.

AVERAGE ANNUAL FILE: ORGANIC CARBON LOADING [unit-area] 

,,,Reach ID,Reach ID, 
,,,OUTLET,
Cell ID,Drainage Area [ha],Ionic State,Up [kg/ha/yr],Dn [kg/ha/yr], 
22,37.54,Attached,69.792,,
22,37.54,Dissolved,0.000,,
22,37.54,Subtotal,69.792,,
23,30.54,Attached,51.623,,
23,30.54,Dissolved,0.000,,
23,30.54,Subtotal,51.623,,
31,33.65,Attached,0.083,,
31,33.65,Dissolved,0.000,,
31,33.65,Subtotal,0.083,,
32,9.37,Attached,72.942,,
32,9.37,Dissolved,0.000,,
32,9.37,Subtotal,72.942,,
33,33.09,Attached,77.443,,
33,33.09,Dissolved,0.000,,
33,33.09,Subtotal,77.443,,
41,30.17,Attached,45.099,,
41,30.17,Dissolved,0.000,,
41,30.17,Subtotal,45.099,,
42,14.91,Attached,71.483,,
42,14.91,Dissolved,0.000,,
42,14.91,Subtotal,71.483,,
43,30.25,Attached,95.956,,
43,30.25,Dissolved,0.000,,
43,30.25,Subtotal,95.956,,
Reach Totals,,Attached,58.193,
Reach Totals,,Dissolved,0.000,
Reach Totals,,Grand Totals,58.193,
Drainage Area [ha],   219.520,,219.520,
